#,Repositorio,Enlace GitHub,Uso Principal,H2O,Trading,Agro,Score,
1,**odoo/odoo**,https://github.com/odoo/odoo,ERP/CRM empresarial completo,🔴,,🟡,98,
2,**langgenius/dify**,https://github.com/langgenius/dify,Plataforma low-code para apps AI,🔴,🟡,,98,
3,**OpenBB-finance/OpenBB**,https://github.com/OpenBB-finance/OpenBB,Terminal financiero open-source,🟢,,🟡,97,
4,**zohaibbashir/Google-Maps-Scrapper**,https://github.com/zohaibbashir/Google-Maps-Scrapper,Scraper de Google Maps,🔴,,🔴,97,
5,**NirDiamant/RAG_Techniques**,https://github.com/NirDiamant/RAG_Techniques,Técnicas RAG con código,🔴,,🟡,97,
6,**apify/crawlee**,https://github.com/apify/crawlee,Web scraping escalable,🟡,🔴,🔴,96,
7,**tesseract-ocr/tesseract**,https://github.com/tesseract-ocr/tesseract,Motor OCR líder mundial,🔴,,🔴,96,
8,**google/adk-python**,https://github.com/google/adk-python,Agent Development Kit Google,🔴,,🟡,96,
9,**cheahjs/free-llm-api-resources**,https://github.com/cheahjs/free-llm-api-resources,Catálogo APIs LLM gratuitas,🔴,,🟡,96,
10,**tashfeenahmed/freellmapi**,https://github.com/tashfeenahmed/freellmapi,Proxy APIs LLM con fallback,🔴,,🟡,95,
11,**coding-kitties/investing-algorithm-framework**,https://github.com/coding-kitties/investing-algorithm-framework,Framework algoritmos trading,🟢,🔴,🟢,95,
12,**opendatalab/MinerU**,https://github.com/opendatalab/MinerU,Extracción datos de PDFs,🔴,🟡,,95,
13,**microsoft/markitdown**,https://github.com/microsoft/markitdown,Conversor documentos a Markdown,🔴,,🟡,95,
14,**langflow-ai/langflow**,https://github.com/langflow-ai/langflow,UI visual flujos LLM,🔴,,🟡,94,
15,**f/prompts.chat**,https://github.com/f/prompts.chat,Biblioteca prompts open-source,🔴,,🟡,94,
16,**ai-collection/ai-collection**,https://github.com/ai-collection/ai-collection,Colección herramientas IA,🔴,🔴,🟡,94,
17,**danny-avila/LibreChat**,https://github.com/danny-avila/LibreChat,Clone ChatGPT multi-proveedor,🟡,,🟢,94,
18,**agentskills/agentskills**,https://github.com/agentskills/agentskills,Habilidades pre-definidas agentes,🔴,🟡,,93,
19,**x1xhlol/system-prompts-and-models-of-ai-tools**,https://github.com/x1xhlol/system-prompts-and-models-of-ai-tools,System prompts herramientas AI,🔴,,🟡,93,
20,**microsoft/generative-ai-for-beginners**,https://github.com/microsoft/generative-ai-for-beginners,Curso fundamentos IA generativa,🟡,,🟡,93,
21,**VectifyAI/OpenKB**,https://github.com/VectifyAI/OpenKB,Base conocimiento con RAG,🔴,,🟡,93,
22,**Shubhamsaboo/awesome-llm-apps**,https://github.com/Shubhamsaboo/awesome-llm-apps,Colección apps LLM open-source,🔴,,🟡,92,
23,**rmyndharis/OpenWA**,https://github.com/rmyndharis/OpenWA,Gateway WhatsApp empresarial,🔴,,🟢,92,
24,**tensortrade-org/tensortrade**,https://github.com/tensortrade-org/tensortrade,Framework RL trading,🟢,🔴,🟢,92,
25,**Nyr/openvpn-install**,https://github.com/Nyr/openvpn-install,Script instalación OpenVPN,🟡,,🟡,92,
26,**microsoft/AI-Engineering-Coach**,https://github.com/microsoft/AI-Engineering-Coach,Coach buenas prácticas IA,🟡,,🟡,91,
27,**msitarzewski/agency-agents**,https://github.com/msitarzewski/agency-agents,144 agentes IA especializados,🟡,🔴,🟡,91,
28,**Mintplex-Labs/anythingllm-docs**,https://github.com/Mintplex-Labs/anythingllm-docs,Documentación AnythingLLM RAG,🟡,🟡,🟡,90,
29,**mem0ai/mem0**,https://github.com/mem0ai/mem0,Memoria persistente agentes IA,🔴,🟡,🟡,90,
